"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Western Pacific","Malaysia","Male","186","185.90080","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Western Pacific","Malaysia","Female","100","99.79221","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Western Pacific","Malaysia","Both sexes","145","145.14970","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Western Pacific","Malaysia","Male","187","186.67090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Western Pacific","Malaysia","Female","97","97.29436","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Western Pacific","Malaysia","Both sexes","144","144.35640","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Western Pacific","Malaysia","Male","185","185.40730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Western Pacific","Malaysia","Female","95","95.20575","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Western Pacific","Malaysia","Both sexes","143","142.69530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Western Pacific","Malaysia","Male","184","183.90360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Western Pacific","Malaysia","Female","93","93.21920","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Western Pacific","Malaysia","Both sexes","141","141.00250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Western Pacific","Malaysia","Male","182","182.46990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Western Pacific","Malaysia","Female","92","91.71752","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Western Pacific","Malaysia","Both sexes","140","139.61580","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Western Pacific","Malaysia","Male","181","180.59620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Western Pacific","Malaysia","Female","90","90.34328","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Western Pacific","Malaysia","Both sexes","138","138.07190","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Western Pacific","Malaysia","Male","179","178.72270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Western Pacific","Malaysia","Female","89","89.35156","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Western Pacific","Malaysia","Both sexes","137","136.59510","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Western Pacific","Malaysia","Male","177","176.77790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Western Pacific","Malaysia","Female","89","88.76762","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Western Pacific","Malaysia","Both sexes","135","135.27530","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Western Pacific","Malaysia","Male","175","174.56910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Western Pacific","Malaysia","Female","88","88.49465","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Western Pacific","Malaysia","Both sexes","134","133.97270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Western Pacific","Malaysia","Male","172","172.03940","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Western Pacific","Malaysia","Female","89","88.59310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Western Pacific","Malaysia","Both sexes","133","132.68490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Western Pacific","Malaysia","Male","170","169.57230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Western Pacific","Malaysia","Female","89","88.90018","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Western Pacific","Malaysia","Both sexes","132","131.53900","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Western Pacific","Malaysia","Male","167","167.25620","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Western Pacific","Malaysia","Female","89","89.21999","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Western Pacific","Malaysia","Both sexes","130","130.44310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Malaysia","Male","165","165.08250","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Malaysia","Female","89","89.32523","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Western Pacific","Malaysia","Both sexes","129","129.31600","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Malaysia","Male","164","164.44360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Malaysia","Female","89","89.44160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Western Pacific","Malaysia","Both sexes","129","129.01460","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Malaysia","Male","163","162.67240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Malaysia","Female","89","88.62850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Western Pacific","Malaysia","Both sexes","128","127.66820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Western Pacific","Malaysia","Male","160","160.03810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Western Pacific","Malaysia","Female","87","87.17680","","",""
