"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2000","Western Pacific","Low-income","Niue","6.55","6.55000","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2001","Western Pacific","Low-income","Niue","30.24","30.23810","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2002","Western Pacific","Low-income","Niue","9.89","9.88889","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2003","Western Pacific","Low-income","Niue","10.75","10.75000","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2004","Western Pacific","Low-income","Niue","9.99","9.99048","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2005","Western Pacific","Low-income","Niue","7.17","7.17273","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2006","Western Pacific","Low-income","Niue","39.68","39.68182","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2007","Western Pacific","Low-income","Niue","11.84","11.83913","","",""
"General government expenditure on health as a percentage of total government expenditure","Niue note","Published","2008","Western Pacific","Low-income","Niue","14.21","14.21465","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2001","Africa","Lower-middle-income","Nigeria","4.50","4.49776","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2002","Africa","Lower-middle-income","Nigeria","3.73","3.72797","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2003","Africa","Lower-middle-income","Nigeria","5.89","5.89057","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2004","Africa","Lower-middle-income","Nigeria","8.82","8.81636","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2005","Africa","Lower-middle-income","Nigeria","7.30","7.29805","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2006","Africa","Lower-middle-income","Nigeria","8.65","8.64769","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2007","Africa","Lower-middle-income","Nigeria","9.19","9.19336","","",""
"General government expenditure on health as a percentage of total government expenditure","Nigeria note","Published","2008","Africa","Lower-middle-income","Nigeria","7.63","7.62746","","",""
